Date,Yahoo,Microsoft,Google,Facebook,Apple
2015-02-11,42.959999,42.380001,535.972405,124.879997,124.879997
2015-02-10,43.07,42.599998,536.942412,122.019997,122.019997
2015-02-09,42.57,42.360001,527.832406,119.720001,119.720001
2015-02-06,42.939999,42.41,531.002415,118.93,118.93
2015-02-05,43.549999,42.450001,527.582391,119.940002,119.940002
2015-02-04,44.049999,41.84,522.762349,119.559998,119.559998
2015-02-03,44.700001,41.599998,529.2424,118.650002,118.650002
2015-02-02,44.689999,41.279999,528.482381,118.629997,118.629997
2015-01-30,43.990002,40.400002,534.522445,117.160004,117.160004
2015-01-29,43.73,42.009998,510.6623,118.900002,118.900002
2015-01-28,46.459999,41.189999,510.002318,115.309998,115.309998
2015-01-27,47.990002,42.66,518.63237,109.139999,109.139999
2015-01-26,49.439999,47.009998,535.212448,113.099998,113.099998
2015-01-23,48.950001,47.18,539.952437,112.980003,112.980003
2015-01-22,48.889999,47.130001,534.392388,112.400002,112.400002
2015-01-21,48.18,45.919998,518.042373,109.550003,109.550003
2015-01-20,47.630001,46.389999,506.902294,108.720001,108.720001
2015-01-16,46.470001,46.240002,508.082288,105.989998,105.989998
2015-01-15,46.23,45.48,501.792271,106.82,106.82
2015-01-14,47.509998,45.959999,500.872267,109.800003,109.800003
2015-01-13,48.299999,46.360001,496.182251,110.220001,110.220001
2015-01-12,48.799999,46.599998,492.552239,109.25,109.25
2015-01-09,49.720001,47.189999,496.172244,112.010002,112.010002
2015-01-08,50.23,47.59,502.682285,111.889999,111.889999
2015-01-07,48.59,46.23,501.102268,107.75,107.75
2015-01-06,49.209999,45.650002,501.962262,106.260002,106.260002
2015-01-05,49.130001,46.330002,513.872306,106.25,106.25
2015-01-02,50.169998,46.759998,524.812404,109.330002,109.330002
2014-12-31,50.509998,46.450001,526.402397,110.379997,110.379997
2014-12-30,51.220001,47.02,530.422394,112.519997,112.519997
2014-12-29,50.529999,47.450001,530.332426,113.910004,113.910004
2014-12-26,50.860001,47.880001,534.032392,113.989998,113.989998
2014-12-24,50.650002,48.139999,528.772422,112.010002,112.010002
2014-12-23,50.02,48.450001,530.592416,112.540001,112.540001
2014-12-22,51.150002,47.98,524.872383,112.940002,112.940002
2014-12-19,50.880001,47.66,516.352313,111.779999,111.779999
2014-12-18,50.91,47.52,511.102319,112.650002,112.650002
2014-12-17,50.119999,45.740002,504.892295,109.410004,109.410004
2014-12-16,48.849998,45.16,495.392242,106.75,106.75
2014-12-15,49.82,46.669998,513.802351,108.230003,108.230003
2014-12-12,50.240002,46.950001,518.662359,109.730003,109.730003
2014-12-11,49.939999,47.169998,528.34241,111.620003,111.620003
2014-12-10,49.209999,46.900002,526.062353,111.949997,111.949997
2014-12-09,50.509998,47.59,533.37244,114.120003,114.120003
2014-12-08,49.619999,47.700001,526.982357,112.400002,112.400002
2014-12-05,50.990002,48.419998,525.262369,115.00,115.00
2014-12-04,50.41,48.84,537.312445,115.489998,115.489998
2014-12-03,50.279999,48.080002,531.322384,115.93,115.93
2014-12-02,50.669998,48.459999,533.752389,114.629997,114.629997
2014-12-01,50.099998,48.619999,533.802391,115.07,115.07
2014-11-28,51.740002,47.810001,541.832471,118.93,118.93
2014-11-26,51.93,47.75,540.372473,119.00,119.00
2014-11-25,51.720001,47.470001,541.082428,117.599998,117.599998
2014-11-24,51.830002,47.59,539.272471,118.629997,118.629997
2014-11-21,51.040001,47.98,537.502419,116.470001,116.470001
2014-11-20,51.25,48.700001,534.832438,116.309998,116.309998
2014-11-19,50.580002,48.220001,536.992415,114.669998,114.669998
2014-11-18,51.75,48.740002,535.032449,115.470001,115.470001
2014-11-17,52.369999,49.459999,536.512399,113.989998,113.989998
2014-11-14,51.75,49.580002,544.402446,114.18,114.18
2014-11-13,50.50,49.610001,545.38249,112.82,112.82
2014-11-12,50.599998,48.779999,547.312465,111.25,111.25
2014-11-11,49.049999,48.869999,550.292501,109.699997,109.699997
2014-11-10,49.41,48.889999,547.492463,108.830002,108.830002
2014-11-07,48.549999,48.68,541.012473,109.010002,109.010002
2014-11-06,47.93,48.700001,542.042458,108.699997,108.699997
2014-11-05,47.459999,47.860001,545.922484,108.860001,108.860001
2014-11-04,47.080002,47.57,554.112486,108.599998,108.599998
2014-11-03,46.34,47.439999,555.222525,109.400002,109.400002
2014-10-31,46.049999,46.950001,559.082538,108.00,108.00
2014-10-30,45.630001,46.049999,550.312514,106.980003,106.980003
2014-10-29,45.43,46.619999,549.33247,107.339996,107.339996
2014-10-28,45.869999,46.490002,548.902458,106.739998,106.739998
2014-10-27,44.700001,45.91,540.772435,105.110001,105.110001
2014-10-24,43.50,46.130001,539.782415,105.220001,105.220001
2014-10-23,42.599998,45.02,543.982471,104.830002,104.830002
2014-10-22,42.00,44.380001,532.712427,102.989998,102.989998
2014-10-21,40.18,44.880001,526.542369,102.470001,102.470001
2014-10-20,39.279999,44.080002,520.842349,99.760002,99.760002
2014-10-17,38.450001,43.630001,511.172305,97.669998,97.669998
2014-10-16,38.119999,42.740002,524.512387,96.260002,96.260002
2014-10-15,37.82,43.220001,530.032409,97.540001,97.540001
2014-10-14,37.970001,43.73,537.942408,98.75,98.75
2014-10-13,38.380001,43.650002,533.212394,99.809998,99.809998
2014-10-10,39.599998,44.029999,544.492476,100.730003,100.730003
2014-10-09,41.099998,45.849998,560.882518,101.019997,101.019997
2014-10-08,41.080002,46.779999,572.502582,100.800003,100.800003
2014-10-07,40.93,45.529999,563.742534,98.75,98.75
2014-10-06,41.52,46.09,577.352614,99.620003,99.620003
2014-10-03,41.029999,46.09,575.282606,99.620003,99.620003
2014-10-02,40.50,45.759998,570.082554,99.900002,99.900002
2014-10-01,40.32,45.900002,568.272597,99.18,99.18
2014-09-30,40.75,46.360001,577.36259,100.75,100.75
2014-09-29,40.52,46.439999,576.362594,100.110001,100.110001
2014-09-26,40.66,46.41,577.1026,100.75,100.75
2014-09-25,38.950001,46.040001,575.062581,97.870003,97.870003
2014-09-24,39.880001,47.080002,587.992634,101.75,101.75
2014-09-23,39.049999,46.560001,581.132634,102.639999,102.639999
2014-09-22,38.650002,47.060001,587.372648,101.059998,101.059998
2014-09-19,40.93,47.52,596.082692,100.959999,100.959999
2014-09-18,42.09,46.68,589.272695,101.790001,101.790001
2014-09-17,42.59,46.52,584.772622,101.580002,101.580002
2014-09-16,42.709999,46.759998,579.95264,100.860001,100.860001
2014-09-15,42.549999,46.240002,573.102616,101.629997,101.629997
2014-09-12,42.880001,46.700001,575.622589,101.660004,101.660004
2014-09-11,41.259998,47.00,581.352659,101.43,101.43
2014-09-10,41.139999,46.84,583.102636,101.00,101.00
2014-09-09,40.779999,46.759998,581.012615,97.989998,97.989998
2014-09-08,41.810001,46.470001,589.722659,98.360001,98.360001
2014-09-05,39.59,45.91,586.082672,98.970001,98.970001
2014-09-04,39.189999,45.259998,581.982621,98.120003,98.120003
2014-09-03,38.869999,44.959999,577.942611,98.940002,98.940002
2014-09-02,39.27,45.09,577.332601,103.300003,103.300003
2014-08-29,38.509998,45.43,571.602592,102.50,102.50
2014-08-28,38.310001,44.880001,569.202577,102.25,102.25
2014-08-27,38.18,44.869999,571.002557,102.129997,102.129997
2014-08-26,37.790001,45.009998,577.862619,100.889999,100.889999
2014-08-25,37.709999,45.169998,580.202654,101.540001,101.540001
2014-08-22,38.009998,45.150002,582.562642,101.32,101.32
2014-08-21,37.639999,45.220001,583.372664,100.580002,100.580002
2014-08-20,37.50,44.950001,584.492618,100.57,100.57
2014-08-19,37.830002,45.330002,586.862643,100.529999,100.529999
2014-08-18,37.380001,45.110001,582.162619,99.160004,99.160004
2014-08-15,36.470001,44.790001,573.482626,97.980003,97.980003
2014-08-14,36.360001,44.27,574.652582,97.50,97.50
2014-08-13,36.189999,44.080002,574.782577,97.239998,97.239998
2014-08-12,35.52,43.52,562.732562,95.970001,95.970001
2014-08-11,35.790001,43.200001,567.882551,95.989998,95.989998
2014-08-08,35.91,43.200001,568.772565,94.739998,94.739998
2014-08-07,35.66,43.23,563.362525,94.480003,94.480003
2014-08-06,35.790001,42.740002,566.376589,94.959999,94.959999
2014-08-05,35.700001,43.080002,565.072537,95.120003,95.120003
2014-08-04,36.529999,43.369999,573.152619,95.589996,95.589996
2014-08-01,35.619999,42.860001,566.072533,96.129997,96.129997
2014-07-31,35.810001,43.16,571.602592,95.599998,95.599998
2014-07-30,36.599998,43.580002,587.42265,98.150002,98.150002
2014-07-29,35.68,43.889999,585.612633,98.379997,98.379997
2014-07-28,35.900002,43.970001,590.602697,99.019997,99.019997
2014-07-25,36.119999,44.50,589.022681,97.669998,97.669998
2014-07-24,36.169998,44.400002,593.352671,97.029999,97.029999
2014-07-23,34.709999,44.869999,595.982686,97.190002,97.190002
2014-07-22,33.599998,44.830002,594.742713,94.720001,94.720001
2014-07-21,33.279999,44.84,589.472645,93.940002,93.940002
2014-07-18,33.330002,44.689999,595.082696,94.43,94.43
2014-07-17,33.209999,44.529999,573.732579,93.089996,93.089996
2014-07-16,33.790001,44.080002,582.662648,94.779999,94.779999
2014-07-15,35.610001,42.450001,584.782659,95.32,95.32
2014-07-14,35.700001,42.139999,584.872627,96.449997,96.449997
2014-07-11,35.43,42.09,579.182645,95.220001,95.220001
2014-07-10,34.93,41.689999,571.102563,95.040001,95.040001
2014-07-09,34.849998,41.669998,576.08259,95.389999,95.389999
2014-07-08,34.529999,41.779999,571.092587,95.349998,95.349998
2014-07-07,35.52,41.990002,582.252649,95.970001,95.970001
2014-07-03,36.139999,41.799999,584.732656,94.029999,94.029999
2014-07-02,35.880001,41.900002,582.33766,93.480003,93.480003
2014-07-01,35.349998,41.869999,582.672624,93.519997,93.519997
2014-06-30,35.130001,41.700001,575.282606,92.93,92.93
2014-06-27,34.25,42.25,577.242632,91.980003,91.980003
2014-06-26,33.66,41.720001,576.002598,90.900002,90.900002
2014-06-25,33.25,42.029999,578.652627,90.360001,90.360001
2014-06-24,33.48,41.75,564.622572,90.279999,90.279999
2014-06-23,33.639999,41.990002,564.952579,90.830002,90.830002
2014-06-20,34.049999,41.68,556.362492,90.910004,90.910004
2014-06-19,34.68,41.509998,554.902495,91.860001,91.860001
2014-06-18,34.939999,41.650002,553.372481,92.18,92.18
2014-06-17,34.43,41.68,543.012465,92.080002,92.080002
2014-06-16,34.810001,41.50,544.282488,92.199997,92.199997
2014-06-13,36.939999,41.23,551.762475,91.279999,91.279999
2014-06-12,36.779999,40.580002,551.352476,92.290001,92.290001
2014-06-11,36.630001,40.860001,558.842499,93.860001,93.860001
2014-06-10,36.310001,41.110001,560.552511,94.25,94.25
2014-06-09,36.040001,41.27,562.122552,93.699997,93.699997
2014-06-06,35.919998,41.48,556.332503,645.570023,645.570023
2014-06-05,34.939999,41.209999,553.902499,647.349983,647.349983
2014-06-04,34.73,40.32,544.662436,644.819992,644.819992
2014-06-03,34.650002,40.290001,544.94244,637.539986,637.539986
2014-06-02,34.869999,40.790001,553.932488,628.650009,628.650009
2014-05-30,34.650002,40.939999,559.892559,633.000015,633.000015
2014-05-29,34.900002,40.34,560.082534,635.37999,635.37999
2014-05-28,34.779999,40.009998,561.682564,624.01001,624.01001
2014-05-27,35.119999,40.189999,565.952575,625.63002,625.63002
2014-05-23,35.02,40.119999,552.702492,614.129997,614.129997
2014-05-22,34.700001,40.099998,545.062459,607.269974,607.269974
2014-05-21,34.360001,40.349998,538.942465,606.310005,606.310005
2014-05-20,33.869999,39.68,529.772418,604.710022,604.710022
2014-05-19,33.889999,39.75,528.862391,604.590019,604.590019
2014-05-16,33.41,39.830002,520.632362,597.510017,597.510017
2014-05-15,33.799999,39.599998,519.982324,588.819992,588.819992
2014-05-14,34.169998,40.240002,526.652412,593.869987,593.869987
2014-05-13,34.400002,40.419998,533.092437,593.760025,593.760025
2014-05-12,34.450001,39.970001,529.922427,592.830017,592.830017
2014-05-09,33.759998,39.540001,518.732375,585.540024,585.540024
2014-05-08,33.919998,39.639999,511.002313,587.990013,587.990013
2014-05-07,34.07,39.419998,509.962321,592.329979,592.329979
2014-05-06,36.490002,39.060001,515.14233,594.410027,594.410027
2014-05-05,36.91,39.43,527.812392,600.959976,600.959976
2014-05-02,36.869999,39.689999,527.932411,592.580025,592.580025
2014-05-01,36.509998,40.00,531.352435,591.480026,591.480026
2014-04-30,35.950001,40.400002,526.662388,590.089981,590.089981
2014-04-29,35.830002,40.509998,527.70241,592.329979,592.329979
2014-04-28,33.990002,40.869999,517.152359,594.090019,594.090019
2014-04-25,34.48,39.91,516.182352,571.93998,571.93998
2014-04-24,35.240002,39.860001,525.162363,567.770004,567.770004
2014-04-23,35.439999,39.689999,526.942391,524.750008,524.750008
2014-04-22,36.139999,39.990002,534.812425,531.70002,531.70002
2014-04-21,36.400002,39.939999,528.622414,531.170021,531.170021
2014-04-17,36.380001,40.009998,536.1024,524.940025,524.940025
