,Date,Yahoo,Microsoft,Google,Facebook,Apple
973,2012-02-17,15.01,31.25,604.641054,33.08,502.12001
972,2012-02-21,14.75,31.440001,614.001035,31.969999,514.850021
971,2012-02-22,14.50,31.27,607.941041,31.889999,513.039993
970,2012-02-23,14.78,31.370001,606.111023,32.279998,516.389977
969,2012-02-24,14.89,31.48,609.901062,32.089998,522.409981
968,2012-02-27,14.86,31.35,609.311028,32.349997,525.760017
967,2012-02-28,14.90,31.870001,618.391032,32.229998,535.410011
966,2012-02-29,14.83,31.74,618.251043,31.759999,542.440025
965,2012-03-01,14.93,32.290001,622.401069,31.849999,544.469978
964,2012-03-02,14.72,32.080002,621.251082,31.319998,545.180008
963,2012-03-05,14.62,31.799999,614.251053,31.929999,533.160027
962,2012-03-06,14.42,31.559999,604.961036,31.009998,530.259987
961,2012-03-07,14.62,31.84,606.80104,30.929999,530.69001
960,2012-03-08,14.62,32.009998,607.141056,31.290001,541.989975
959,2012-03-09,14.63,31.99,600.251057,31.469999,545.170021
958,2012-03-12,14.49,32.040001,605.151016,31.149998,551.999977
957,2012-03-13,14.55,32.669998,617.781087,31.45,568.099998
956,2012-03-14,14.63,32.77,615.991074,31.069999,589.580009
955,2012-03-15,14.89,32.849998,621.131066,32.099996,585.559998
954,2012-03-16,15.18,32.599998,625.041059,31.599998,585.569984
953,2012-03-19,15.15,32.200001,633.981075,31.509998,601.100006
952,2012-03-20,15.41,31.99,633.491085,30.469998,605.959984
951,2012-03-21,15.51,31.91,639.981091,30.86,602.499985
950,2012-03-22,15.49,32.00,646.051131,30.41,599.340019
949,2012-03-23,15.39,32.009998,642.591122,30.69,596.050011
948,2012-03-26,15.54,32.59,649.331085,31.079999,606.97998
947,2012-03-27,15.43,32.52,647.021125,31.109999,614.480019
946,2012-03-28,15.32,32.189999,655.761114,30.519998,617.62001
945,2012-03-29,15.30,32.119999,648.411083,30.28,609.859993
944,2012-03-30,15.22,32.259998,641.241108,29.939999,599.550011
943,2012-04-02,15.46,32.290001,646.921081,30.129997,618.63002
942,2012-04-03,15.18,31.940001,642.621081,29.669999,629.319984
941,2012-04-04,15.27,31.209999,635.151095,28.999999,624.30999
940,2012-04-05,15.07,31.52,632.321064,29.349998,633.679977
939,2012-04-09,15.10,31.10,630.841109,28.62,636.229996
938,2012-04-10,14.99,30.469999,626.861091,28.179998,628.440018
937,2012-04-11,14.88,30.35,635.961067,27.389997,626.20002
936,2012-04-12,15.06,30.98,651.011129,27.689999,622.769981
935,2012-04-13,14.87,30.809999,624.601061,27.019999,605.22998
934,2012-04-16,14.79,31.08,606.071018,27.36,580.13002
933,2012-04-17,15.01,31.440001,609.571032,27.689999,609.699989
932,2012-04-18,15.49,31.139999,607.451052,27.85,608.340012
931,2012-04-19,15.40,31.01,599.301036,27.559999,587.439987
930,2012-04-20,15.60,32.419998,596.061026,27.26,572.980003
929,2012-04-23,15.33,32.119999,597.60102,26.799997,571.699974
928,2012-04-24,15.43,31.92,601.271042,27.109999,560.280006
927,2012-04-25,15.50,32.200001,609.721068,27.769998,610.000023
926,2012-04-26,15.53,32.110001,615.471065,27.999999,607.699997
925,2012-04-27,15.57,31.98,614.981076,28.479998,603.000023
924,2012-04-30,15.54,32.02,604.851067,28.059999,583.979988
923,2012-05-01,15.63,32.009998,604.431041,28.379997,582.130013
922,2012-05-02,15.67,31.799999,607.261072,28.20,585.97998
921,2012-05-03,15.40,31.76,611.021029,27.999999,581.819992
920,2012-05-04,15.15,30.98,596.971042,27.209997,565.25
919,2012-05-07,15.35,30.65,607.551034,27.249999,569.480003
918,2012-05-08,15.36,30.50,612.79107,26.999998,568.18
917,2012-05-09,15.30,30.76,609.151067,27.18,569.180023
916,2012-05-10,15.44,30.74,613.661081,26.999998,570.519974
915,2012-05-11,15.19,31.16,605.231027,27.109999,566.710007
914,2012-05-14,15.50,30.68,604.001029,26.59,558.219986
913,2012-05-15,15.40,30.209999,611.111026,26.37,553.169991
912,2012-05-16,15.28,29.90,628.93108,26.419998,546.080002
911,2012-05-17,14.87,29.719999,623.051081,25.77,530.12001
910,2012-05-18,15.42,29.27,600.401031,25.749999,530.37999
909,2012-05-21,15.58,29.75,614.111065,26.549998,561.279976
908,2012-05-22,15.29,29.76,600.801024,26.389999,556.970024
907,2012-05-23,15.38,29.110001,609.461063,26.67,570.559975
906,2012-05-24,15.35,29.07,603.661013,26.45,565.320015
905,2012-05-25,15.36,29.059999,591.53104,26.619999,562.289986
904,2012-05-29,15.47,29.559999,594.341038,27.299997,572.269974
903,2012-05-30,15.25,29.34,588.230992,26.909998,579.169998
902,2012-05-31,15.24,29.190001,580.86099,26.639998,577.730019
901,2012-06-01,14.92,28.450001,570.981,25.799999,560.989983
900,2012-06-04,15.01,28.549999,578.590973,25.50,564.289978
899,2012-06-05,15.10,28.51,570.410999,26.00,562.830025
898,2012-06-06,15.36,29.35,580.570966,26.36,571.460022
897,2012-06-07,15.36,29.23,578.230986,26.129997,571.720001
896,2012-06-08,15.65,29.65,580.451011,26.149998,580.319984
895,2012-06-11,15.30,28.90,568.50097,25.049997,571.169975
894,2012-06-12,15.47,29.290001,565.100939,24.79,576.159996
893,2012-06-13,15.34,29.129999,561.090963,24.20,572.160011
892,2012-06-14,15.36,29.34,559.050931,24.309999,571.529984
891,2012-06-15,15.36,30.02,564.510966,24.709998,574.12999
890,2012-06-18,15.49,29.84,570.850997,24.620001,585.779976
889,2012-06-19,15.65,30.700001,581.530973,24.679999,587.410027
888,2012-06-20,15.74,30.93,577.511011,24.709998,585.739975
887,2012-06-21,15.52,30.139999,565.210969,23.850001,577.669991
886,2012-06-22,15.61,30.700001,571.480976,23.899999,582.099998
885,2012-06-25,15.44,29.870001,560.700956,23.329999,570.77002
884,2012-06-26,15.35,30.02,564.680974,23.29,572.030022
883,2012-06-27,15.52,30.17,569.300956,23.659998,574.499985
882,2012-06-28,15.45,29.91,564.310939,23.759998,569.04998
881,2012-06-29,15.83,30.59,580.07099,24.819999,584.000015
880,2012-07-02,15.84,30.559999,580.470983,24.809999,592.519997
879,2012-07-03,15.98,30.76,587.830999,25.089999,599.409981
878,2012-07-05,15.85,30.700001,595.921037,24.999999,609.939995
877,2012-07-06,15.78,30.190001,585.981009,24.229999,605.879982
876,2012-07-09,15.75,30.00,586.011028,23.999999,613.889992
